央视,#genre#
广东卫视,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/gdwshd/4000000/mnf.m3u8
广东卫视,http://39.135.187.130/0000000000001001/1/1.m3u8?Contentid=1000000001000028357&livemode=1&channel-id=ystenlive
广东卫视,http://iptv.tvfix.org/hls/gdhd.m3u8
广东嘉佳卡通,http://39.135.138.60:18890/PLTV/88888888/224/3221226193/index.m3u8
东南卫视,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/dnwshd/4000000/mnf.m3u8
东南卫视,http://iptv.tvfix.org/hls/dnhd.m3u8
山东卫视,http://111.20.33.93/TVOD/88888893/224/3221226209/index.m3u8
山东卫视,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/sdwshd/4000000/mnf.m3u8
山东卫视,http://iptv.tvfix.org/hls/sdhd.m3u8
江西卫视,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/jxwshd/4000000/mnf.m3u8
江西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225746/index.m3u8
江西卫视,http://iptv.tvfix.org/hls/jxhd.m3u8
辽宁卫视,http://117.148.179.152/PLTV/88888888/224/3221231802/index.m3u8
辽宁卫视,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/lnwshd/4000000/mnf.m3u8
辽宁卫视,http://iptv.tvfix.org/hls/lnhd.m3u8
湖北卫视,http://111.20.33.93/TVOD/88888893/224/3221226206/index.m3u8
湖北卫视,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/hbwshd/4000000/mnf.m3u8
湖北卫视,http://iptv.tvfix.org/hls/hbhd.m3u8
黑龙江卫视,http://111.20.33.93/TVOD/88888893/224/3221226215/index.m3u8
黑龙江卫视,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/hljwshd/4000000/mnf.m3u8
黑龙江卫视,http://iptv.tvfix.org/hls/hljhd.m3u8
贵州卫视,http://39.134.65.149/PLTV/88888888/224/3221225974/1.m3u8
贵州卫视,http://iptv.tvfix.org/hls/gzhd.m3u8
凤凰卫视中文台,http://59.44.10.113:9901/tsfile/live/1079_1.m3u8
凤凰卫视中文台,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰卫视中文台,https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
凤凰卫视资讯台,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰卫视资讯台,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8
云南卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227181/index.m3u8?servicetype=1&IASHttpSessionId=OTT
云南卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227181/index.m3u8?servicetype=1&IASHttpSessionId=OTT
山西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225730/index.m3u8$标清
山西卫视,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/shanxiws/1300000/mnf.m3u8$标清
陕西卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225729/index.m3u8$标清
陕西卫视,http://220.181.91.187/liveplay-kk.rtxapp.com/live/program/live/sxws/1300000/mnf.m3u8$标清
吉林卫视,http://39.134.66.110/PLTV/88888888/224/3221225981/index.m3u8
吉林卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225680/index.m3u8$标清
广西卫视,http://39.135.49.209:6610/PLTV/88888888/224/3221227250/1.m3u8?servicetype=1
广西卫视,http://iptv.tvfix.org/hls/gxhd.m3u8
甘肃卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225724/index.m3u8$标清
甘肃卫视,http://39.134.66.66/PLTV/88888888/224/3221225584/index.m3u8$标清
南方卫视,http://39.135.138.60:18890/PLTV/88888888/224/3221226203/index.m3u8$标清
内蒙古卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225667/index.m3u8$标清
内蒙古卫视,http://39.134.66.66/PLTV/88888888/224/3221225577/index.m3u8$标清
宁夏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225726/index.m3u8$标清
宁夏卫视,http://39.135.138.60:18890/PLTV/88888888/224/3221225726/index.m3u8$标清
青海卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225727/index.m3u8$标清
青海卫视,http://39.135.138.60:18890/PLTV/88888888/224/3221225727/index.m3u8$标清
新疆卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225725/index.m3u8$标清
新疆卫视,http://39.134.66.66/PLTV/88888888/224/3221225582/index.m3u8$标清
兵团卫视,http://test5.btzx.com.cn/live/btxjbtws.stream/playlist.m3u8
兵团卫视,http://39.135.138.60:18890/PLTV/88888888/224/3221226200/index.m3u8$标清
黑莓电竞,http://111.40.196.9/PLTV/88888888/224/3221225606/index.m3u8
黑莓电竞,http://39.135.138.60:18890/PLTV/88888888/224/3221225653/index.m3u8
黑莓电竞,http://39.135.138.60:18890/PLTV/88888888/224/3221225749/index.m3u8
黑莓电竞,http://39.135.138.60:18890/PLTV/88888888/224/3221225750/index.m3u8
黑莓电竞,http://39.134.65.179/PLTV/88888888/224/3221225559/1.m3u8
黑莓电竞,http://39.134.65.166/PLTV/88888888/224/3221225559/1.m3u8
黑莓电竞,http://39.134.65.173/PLTV/88888888/224/3221225559/1.m3u8
黑莓电竞,http://39.134.65.175/PLTV/88888888/224/3221225559/1.m3u8
黑莓电竞,http://39.134.65.162/PLTV/88888888/224/3221225559/1.m3u8
黑莓电影,http://111.40.196.9/PLTV/88888888/224/3221225610/index.m3u8
黑莓电影,http://39.135.138.60:18890/PLTV/88888888/224/3221225718/index.m3u8
黑莓电影,http://39.135.138.60:18890/PLTV/88888888/224/3221225764/index.m3u8
黑莓电影,http://39.135.138.60:18890/PLTV/88888888/224/3221225769/index.m3u8
黑莓电影,http://39.134.65.179/PLTV/88888888/224/3221225681/1.m3u8
黑莓电影,http://39.134.65.164/PLTV/88888888/224/3221225681/1.m3u8
黑莓电影,http://39.134.65.173/PLTV/88888888/224/3221225681/1.m3u8
黑莓电影,http://39.134.65.175/PLTV/88888888/224/3221225681/1.m3u8
黑莓电影,http://39.134.65.162/PLTV/88888888/224/3221225681/1.m3u8
黑莓动画,http://111.40.196.9/PLTV/88888888/224/3221225628/index.m3u8
黑莓动画,http://39.135.138.60:18890/PLTV/88888888/224/3221225672/index.m3u8
黑莓动画,http://39.134.65.179/PLTV/88888888/224/3221225529/1.m3u8
黑莓动画,http://39.134.65.166/PLTV/88888888/224/3221225529/1.m3u8
黑莓动画,http://39.134.65.173/PLTV/88888888/224/3221225529/1.m3u8
黑莓动画,http://39.134.65.175/PLTV/88888888/224/3221225529/1.m3u8
黑莓动画,http://39.134.65.177/PLTV/88888888/224/3221225529/1.m3u8
体育赛事,http://39.134.65.181/PLTV/88888888/224/3221225706/1.m3u8
体育赛事,http://39.134.65.183/PLTV/88888888/224/3221225706/1.m3u8
台球,http://39.134.19.248:6610/yinhe/2/ch00000090990000001669/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
早教,http://59.49.41.39/live.aishang.ctlcdn.com/00000110240334_1/playlist.m3u8?CONTENTID=00000110240334_1
TVB剧场,http://117.148.179.157/PLTV/88888888/224/3221231733/index.m3u8
北京冬奥纪实,http://39.135.138.60:18890/PLTV/88888888/224/3221225675/index.m3u8
北京冬奥纪实,http://39.135.138.60:18890/PLTV/88888888/224/3221225676/index.m3u8
北京冬奥纪实,http://39.134.65.164/PLTV/88888888/224/3221225670/1.m3u8
北京冬奥纪实,http://39.134.65.166/PLTV/88888888/224/3221225670/1.m3u8
北京冬奥纪实,http://iptv.tvfix.org/hls/brtv11.m3u8

NewTV,#genre#
NewTV爱情喜剧,http://111.40.196.9/PLTV/88888888/224/3221225616/index.m3u8
NewTV爱情喜剧,http://39.135.138.60:18890/PLTV/88888888/224/3221225748/index.m3u8
NewTV爱情喜剧,http://39.134.65.166/PLTV/88888888/224/3221225533/1.m3u8
NewTV爱情喜剧,http://39.134.65.164/PLTV/88888888/224/3221225533/1.m3u8
NewTV超级电影,http://39.134.66.66/PLTV/88888888/224/3221225644/index.m3u8
NewTV超级电影,http://39.135.138.60:18890/PLTV/88888888/224/3221225623/index.m3u8
NewTV超级电影,http://39.135.138.60:18890/PLTV/88888888/224/3221225766/index.m3u8
NewTV超级电影,http://39.134.65.164/PLTV/88888888/224/3221225644/1.m3u8
NewTV超级电影,http://39.134.65.179/PLTV/88888888/224/3221225644/1.m3u8
NewTV超级电影,http://39.134.65.173/PLTV/88888888/224/3221225644/1.m3u8
NewTV超级电影,http://39.134.65.175/PLTV/88888888/224/3221225644/1.m3u8
NewTV超级电影,http://39.134.65.162/PLTV/88888888/224/3221225644/1.m3u8
NewTV超级体育,http://39.135.138.60:18890/PLTV/88888888/224/3221225622/index.m3u8
NewTV超级体育,http://39.135.138.60:18890/PLTV/88888888/224/3221225648/index.m3u8
NewTV超级体育,http://39.135.138.60:18890/PLTV/88888888/224/3221225767/index.m3u8
NewTV超级体育,http://39.134.65.164/PLTV/88888888/224/3221225635/1.m3u8
NewTV超级体育,http://39.134.65.162/PLTV/88888888/224/3221225635/1.m3u8
NewTV超级综艺,http://39.134.66.66/PLTV/88888888/224/3221225642/index.m3u8
NewTV超级综艺,http://39.135.138.60:18890/PLTV/88888888/224/3221225620/index.m3u8
NewTV超级综艺,http://39.135.138.60:18890/PLTV/88888888/224/3221225768/index.m3u8
NewTV超级综艺,http://39.134.65.164/PLTV/88888888/224/3221225642/1.m3u8
NewTV超级综艺,http://39.134.65.162/PLTV/88888888/224/3221225642/1.m3u8
NewTV潮妈辣婆,http://111.40.196.9/PLTV/88888888/224/3221225680/index.m3u8
NewTV潮妈辣婆,http://39.135.138.60:18890/PLTV/88888888/224/3221225708/index.m3u8
NewTV潮妈辣婆,http://39.134.65.166/PLTV/88888888/224/3221225542/1.m3u8
NewTV潮妈辣婆,http://39.134.65.162/PLTV/88888888/224/3221225542/1.m3u8
NewTV潮妈辣婆,http://39.134.65.164/PLTV/88888888/224/3221225542/1.m3u8
NewTV东北热剧,http://39.135.138.60:18890/PLTV/88888888/224/3221226202/index.m3u8
NewTV东北热剧,http://39.134.65.179/PLTV/88888888/224/3221225679/1.m3u8
NewTV东北热剧,http://39.134.65.164/PLTV/88888888/224/3221225679/1.m3u8
NewTV东北热剧,http://39.134.65.173/PLTV/88888888/224/3221225679/1.m3u8
NewTV东北热剧,http://39.134.65.175/PLTV/88888888/224/3221225679/1.m3u8
NewTV东北热剧,http://39.134.65.162/PLTV/88888888/224/3221225679/1.m3u8
NewTV动作电影,http://39.135.138.60:18890/PLTV/88888888/224/3221225671/index.m3u8
NewTV动作电影,http://39.134.65.166/PLTV/88888888/224/3221225555/1.m3u8
NewTV动作电影,http://39.134.65.164/PLTV/88888888/224/3221225555/1.m3u8
NewTV古装剧场,http://111.40.196.9/PLTV/88888888/224/3221225618/index.m3u8
NewTV古装剧场,http://39.135.138.60:18890/PLTV/88888888/224/3221225678/index.m3u8
NewTV古装剧场,http://39.134.65.166/PLTV/88888888/224/3221225524/1.m3u8
NewTV古装剧场,http://39.134.65.164/PLTV/88888888/224/3221225524/1.m3u8
NewTV古装剧场,http://117.169.120.98:8080/ysten-businessmobile/live/guzhuangjc/1.m3u8
NewTV欢乐剧场,http://39.135.138.60:18890/PLTV/88888888/224/3221226210/index.m3u8
NewTV欢乐剧场,http://39.134.65.179/PLTV/88888888/224/3221225682/1.m3u8
NewTV欢乐剧场,http://39.134.65.166/PLTV/88888888/224/3221225682/1.m3u8
NewTV欢乐剧场,http://39.134.65.173/PLTV/88888888/224/3221225682/1.m3u8
NewTV欢乐剧场,http://39.134.65.175/PLTV/88888888/224/3221225682/1.m3u8
NewTV欢乐剧场,http://39.134.65.162/PLTV/88888888/224/3221225682/1.m3u8
NewTV热播精选,http://111.40.196.9/PLTV/88888888/224/3221225624/index.m3u8
